Category,input_text,target_text
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Grammar,they is a pen.,They are a pen.
Grammar,you was a pen.,You were a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
